Axe,Mozambique,1954
Basket,Sierra Leone,1979
Car,Thailand,1989
Drum,Tibet,1919
Etching,Switzerland,1958
Face,New Zealand,1944
Guitar,China,1853
Hat,Kyrgyzstan,2001
Illustration,Switzerland,1958
Jug,Chile,1962
Key,Greece,1904
Lamp,Turkey,1925
Moccasin,United States,1921
Necklace,Tanzania,1926
Ornament,Nigeria,1999
Postcard,Israel,2015
Queen Victoria,England,1902
Rein,Mexico,1988
Stocking,Russia,1913
Teapot,Japan,1986
Unicorn,Scotland,1882
Vase,Costa Rica,1913
Watch,Wales,1983
Xylophone,South Africa,1941
Yarn,Philippines,1958
Zebra,Denmark,2014
